,SI,SD,SR,SC,II,ID,IR,IC,MI,MD,MR,MC,QI,QD,QR,QC
10000,107,101,115,111,0,103,52,0,7,7,8,10,2,21,2,82
20000,438,405,446,436,0,409,211,0,16,15,19,15,3,81,4,321
30000,984,921,980,996,0,917,477,0,23,23,25,23,3,181,7,721
40000,1760,1638,1767,1784,0,1660,858,0,31,31,32,30,5,322,10,1277
50000,2753,2560,2757,2730,0,2556,1388,0,39,38,45,38,6,502,12,1995
60000,3980,3675,3942,3958,0,3664,2079,0,46,46,50,50,8,722,15,2870
70000,5366,5021,5380,5376,0,4988,2822,0,54,54,58,55,8,990,17,3904
80000,7044,6541,7001,7004,0,6495,3586,0,61,61,66,62,9,1285,20,5098
90000,8906,8262,8967,8890,0,8214,4473,0,69,77,75,69,11,1624,23,6450
100000,10998,10174,11040,10963,0,10181,5408,0,85,83,87,79,11,1996,25,7962
